id,county,3/1/2020,3/1/2020/ls,3/2/2020,3/2/2020/ls,3/3/2020,3/3/2020/ls,3/4/2020,3/4/2020/ls,3/5/2020,3/5/2020/ls,3/6/2020,3/6/2020/ls,3/7/2020,3/7/2020/ls,3/8/2020,3/8/2020/ls,3/9/2020,3/9/2020/ls,3/10/2020,3/10/2020/ls,3/11/2020,3/11/2020/ls,3/12/2020,3/12/2020/ls,3/13/2020,3/13/2020/ls,3/14/2020,3/14/2020/ls,3/15/2020,3/15/2020/ls,3/16/2020,3/16/2020/ls,3/17/2020,3/17/2020/ls,3/18/2020,3/18/2020/ls,3/19/2020,3/19/2020/ls,3/20/2020,3/20/2020/ls,3/21/2020,3/21/2020/ls,3/22/2020,3/22/2020/ls,3/23/2020,3/23/2020/ls,3/24/2020,3/24/2020/ls,3/25/2020,3/25/2020/ls,3/26/2020,3/26/2020/ls,3/27/2020,3/27/2020/ls,3/28/2020,3/28/2020/ls,3/29/2020,3/29/2020/ls,3/30/2020,3/30/2020/ls,3/31/2020,3/31/2020/ls,4/1/2020,4/1/2020/ls,4/2/2020,4/2/2020/ls,4/3/2020,4/3/2020/ls,4/4/2020,4/4/2020/ls,4/5/2020,4/5/2020/ls,4/6/2020,4/6/2020/ls,4/7/2020,4/7/2020/ls,4/8/2020,4/8/2020/ls,4/9/2020,4/9/2020/ls,4/10/2020,4/10/2020/ls,4/11/2020,4/11/2020/ls,4/12/2020,4/12/2020/ls,4/13/2020,4/13/2020/ls,4/14/2020,4/14/2020/ls,4/15/2020,4/15/2020/ls,4/16/2020,4/16/2020/ls,4/17/2020,4/17/2020/ls,4/18/2020,4/18/2020/ls,4/19/2020,4/19/2020/ls,4/20/2020,4/20/2020/ls
36001,Albany,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,3,0.478566496,6,0.778874472,12,1.079543007,23,1.361916619,36,1.556423121,43,1.633569443,61,1.785401025,88,1.944532021,123,2.089940418,127,2.103837916,146,2.164382601,152,2.181872159,171,2.233021507,187,2.27186483,195,2.290056882,205,2.311775046,217,2.336479747,226,2.354127655,240,2.380229337,253,2.403137687,267,2.426527527,293,2.466882442,305,2.484314078,319,2.503804297,333,2.522457275,342,2.534038805,379,2.578650669,426,2.629419794,446,2.649344596,478,2.679436982,499,2.698109249,535,2.7283619,548,2.738788483,581,2.764183607,619,2.791697665,648,2.811581708,682,2.833790743,687,2.836963059,704,2.847578828
36003,Allegany,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,6,0.778874472,7,0.845718018,7,0.845718018,9,0.954724791,12,1.079543007,14,1.146438135,16,1.204391332,16,1.204391332,17,1.230704314,17,1.230704314,21,1.322426052,22,1.342620043,26,1.415140352,26,1.415140352,26,1.415140352,26,1.415140352,28,1.447313109,28,1.447313109,28,1.447313109,29,1.462547729,30,1.477265995,30,1.477265995,30,1.477265995,30,1.477265995
36005,Bronx,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,5,0.699837726,5,0.699837726,7,0.845718018,10,1.000434077,20,1.301247089,28,1.447313109,57,1.755951041,86,1.934548948,209,2.320167065,363,2.559918589,554,2.743517604,851,2.929934663,1218,3.085650854,1824,3.261027215,2279,3.357746231,2890,3.460899346,3728,3.571477069,4557,3.658679982,5403,3.732635771,6304,3.799616893,6962,3.842734643,7766,3.890197945,8861,3.947483227,9927,3.996818459,11086,4.044775266,12315,4.090434769,13368,4.126066762,14327,4.156155564,15348,4.186052073,16626,4.220788037,17792,4.250225014,19160,4.282395731,20477,4.311266542,21441,4.331245239,22205,4.346450973,23266,4.36672191,24653,4.391869952,25932,4.41383618,27035,4.431926535,28019,4.447452786,28823,4.459739332,29372,4.467933667,29989,4.476962129
36007,Broome,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,1,0.004321374,1,0.004321374,1,0.004321374,1,0.004321374,1,0.004321374,2,0.303196057,2,0.303196057,2,0.303196057,3,0.478566496,7,0.845718018,9,0.954724791,11,1.041787319,16,1.204391332,18,1.255513713,23,1.361916619,29,1.462547729,35,1.544192111,38,1.57989787,42,1.623352682,46,1.662852233,56,1.748265573,65,1.812980166,71,1.851319513,76,1.880870733,86,1.934548948,88,1.944532021,105,2.021230658,112,2.049256797,117,2.068222979,126,2.100405012,133,2.123884293,146,2.164382601,153,2.184719815,167,2.222742476,178,2.2504444,186,2.269536293,192,2.283323848,199,2.2988749,205,2.311775046
36009,Cattaraugus,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,4,0.603144373,6,0.778874472,6,0.778874472,7,0.845718018,8,0.903632516,9,0.954724791,9,0.954724791,10,1.000434077,12,1.079543007,13,1.114277297,15,1.176380692,17,1.230704314,18,1.255513713,19,1.278982117,28,1.447313109,28,1.447313109,32,1.505285674,32,1.505285674,32,1.505285674,34,1.531606632,34,1.531606632,34,1.531606632,34,1.531606632,35,1.544192111
36011,Cayuga,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,2,0.303196057,3,0.478566496,3,0.478566496,3,0.478566496,4,0.603144373,6,0.778874472,7,0.845718018,8,0.903632516,11,1.041787319,14,1.146438135,14,1.146438135,16,1.204391332,27,1.431524584,28,1.447313109,29,1.462547729,30,1.477265995,33,1.518645524,36,1.556423121,36,1.556423121,36,1.556423121,36,1.556423121,36,1.556423121,36,1.556423121,36,1.556423121
36013,Chautauqua,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,1,0.004321374,1,0.004321374,5,0.699837726,5,0.699837726,5,0.699837726,6,0.778874472,6,0.778874472,8,0.903632516,9,0.954724791,10,1.000434077,11,1.041787319,15,1.176380692,16,1.204391332,17,1.230704314,18,1.255513713,20,1.301247089,21,1.322426052,22,1.342620043,23,1.361916619,23,1.361916619,24,1.38039216,24,1.38039216,25,1.398113692,25,1.398113692,25,1.398113692,25,1.398113692,25,1.398113692
36015,Chemung,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,1,0.004321374,7,0.845718018,11,1.041787319,12,1.079543007,15,1.176380692,15,1.176380692,20,1.301247089,22,1.342620043,22,1.342620043,35,1.544192111,36,1.556423121,38,1.57989787,47,1.672190251,49,1.690284703,55,1.740441645,59,1.770925615,59,1.770925615,60,1.778223627,60,1.778223627,60,1.778223627,64,1.806247827,69,1.838912027,70,1.845160078,71,1.851319513,72,1.857392811,73,1.863382348,73,1.863382348,75,1.875119165
36017,Chenango,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,2,0.303196057,2,0.303196057,2,0.303196057,3,0.478566496,3,0.478566496,3,0.478566496,3,0.478566496,3,0.478566496,4,0.603144373,8,0.903632516,15,1.176380692,17,1.230704314,19,1.278982117,26,1.415140352,28,1.447313109,32,1.505285674,39,1.59117595,43,1.633569443,46,1.662852233,51,1.707655324,53,1.724357804,55,1.740441645,60,1.778223627,61,1.785401025,63,1.79940948,65,1.812980166,68,1.832572775,71,1.851319513,73,1.863382348,76,1.880870733,77,1.886547123,78,1.892150278,78,1.892150278,79,1.897682062
36019,Clinton,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,1,0.004321374,1,0.004321374,2,0.303196057,2,0.303196057,4,0.603144373,4,0.603144373,6,0.778874472,8,0.903632516,10,1.000434077,11,1.041787319,11,1.041787319,12,1.079543007,13,1.114277297,17,1.230704314,21,1.322426052,25,1.398113692,25,1.398113692,30,1.477265995,31,1.491501766,33,1.518645524,36,1.556423121,37,1.568319085,39,1.59117595,40,1.602168551,43,1.633569443,43,1.633569443,43,1.633569443,44,1.643551369,45,1.653309013,45,1.653309013,46,1.662852233,47,1.672190251,48,1.681331706,49,1.690284703,51,1.707655324,51,1.707655324
